sample_id,animal_id,group,vaccination,contrast
ZM34_V2_grouped_d7-d0,ZM34,grouped,V2,d7-d0
ZN21_V2_grouped_d7-d0,ZN21,grouped,V2,d7-d0
16C102_V2_grouped_d7-d0,16C102,grouped,V2,d7-d0
16C141_V2_grouped_d7-d0,16C141,grouped,V2,d7-d0
DGRK_V2_grouped_d7-d0,DGRK,grouped,V2,d7-d0
HXN_V2_grouped_d7-d0,HXN,grouped,V2,d7-d0
ZM12_V2_grouped_d7-d0,ZM12,grouped,V2,d7-d0
16C275_V2_grouped_d7-d0,16C275,grouped,V2,d7-d0
16C286_V2_grouped_d7-d0,16C286,grouped,V2,d7-d0
DGRW_V2_grouped_d7-d0,DGRW,grouped,V2,d7-d0
ZM07_V2_grouped_d7-d0,ZM07,grouped,V2,d7-d0
ZN09_V2_grouped_d7-d0,ZN09,grouped,V2,d7-d0
DGHG_V3_grouped_d1-d0,DGHG,grouped,V3,d1-d0
16C190_V3_grouped_d1-d0,16C190,grouped,V3,d1-d0
DGTE_V3_grouped_d1-d0,DGTE,grouped,V3,d1-d0
ZM34_V3_grouped_d1-d0,ZM34,grouped,V3,d1-d0
ZN21_V3_grouped_d1-d0,ZN21,grouped,V3,d1-d0
16C102_V3_grouped_d1-d0,16C102,grouped,V3,d1-d0
16C141_V3_grouped_d1-d0,16C141,grouped,V3,d1-d0
DGRK_V3_grouped_d1-d0,DGRK,grouped,V3,d1-d0
HXN_V3_grouped_d1-d0,HXN,grouped,V3,d1-d0
ZM12_V3_grouped_d1-d0,ZM12,grouped,V3,d1-d0
16C275_V3_grouped_d1-d0,16C275,grouped,V3,d1-d0
16C286_V3_grouped_d1-d0,16C286,grouped,V3,d1-d0
DGRW_V3_grouped_d1-d0,DGRW,grouped,V3,d1-d0
ZM07_V3_grouped_d1-d0,ZM07,grouped,V3,d1-d0
ZN09_V3_grouped_d1-d0,ZN09,grouped,V3,d1-d0
DGHG_V3_grouped_d3-d0,DGHG,grouped,V3,d3-d0
16C190_V3_grouped_d3-d0,16C190,grouped,V3,d3-d0
DGTE_V3_grouped_d3-d0,DGTE,grouped,V3,d3-d0
ZM34_V3_grouped_d3-d0,ZM34,grouped,V3,d3-d0
ZN21_V3_grouped_d3-d0,ZN21,grouped,V3,d3-d0
16C102_V3_grouped_d3-d0,16C102,grouped,V3,d3-d0
16C141_V3_grouped_d3-d0,16C141,grouped,V3,d3-d0
DGRK_V3_grouped_d3-d0,DGRK,grouped,V3,d3-d0
HXN_V3_grouped_d3-d0,HXN,grouped,V3,d3-d0
ZM12_V3_grouped_d3-d0,ZM12,grouped,V3,d3-d0
16C275_V3_grouped_d3-d0,16C275,grouped,V3,d3-d0
16C286_V3_grouped_d3-d0,16C286,grouped,V3,d3-d0
DGRW_V3_grouped_d3-d0,DGRW,grouped,V3,d3-d0
ZM07_V3_grouped_d3-d0,ZM07,grouped,V3,d3-d0
ZN09_V3_grouped_d3-d0,ZN09,grouped,V3,d3-d0
DGHG_V3_grouped_d7-d0,DGHG,grouped,V3,d7-d0
16C190_V3_grouped_d7-d0,16C190,grouped,V3,d7-d0
DGTE_V3_grouped_d7-d0,DGTE,grouped,V3,d7-d0
ZM34_V3_grouped_d7-d0,ZM34,grouped,V3,d7-d0
ZN21_V3_grouped_d7-d0,ZN21,grouped,V3,d7-d0
16C102_V3_grouped_d7-d0,16C102,grouped,V3,d7-d0
16C141_V3_grouped_d7-d0,16C141,grouped,V3,d7-d0
DGRK_V3_grouped_d7-d0,DGRK,grouped,V3,d7-d0
HXN_V3_grouped_d7-d0,HXN,grouped,V3,d7-d0
ZM12_V3_grouped_d7-d0,ZM12,grouped,V3,d7-d0
16C275_V3_grouped_d7-d0,16C275,grouped,V3,d7-d0
16C286_V3_grouped_d7-d0,16C286,grouped,V3,d7-d0
DGRW_V3_grouped_d7-d0,DGRW,grouped,V3,d7-d0
ZM07_V3_grouped_d7-d0,ZM07,grouped,V3,d7-d0
ZN09_V3_grouped_d7-d0,ZN09,grouped,V3,d7-d0
DGHG_V4_grouped_d1-d0,DGHG,grouped,V4,d1-d0
16C190_V4_grouped_d1-d0,16C190,grouped,V4,d1-d0
DGTE_V4_grouped_d1-d0,DGTE,grouped,V4,d1-d0
ZM34_V4_grouped_d1-d0,ZM34,grouped,V4,d1-d0
ZN21_V4_grouped_d1-d0,ZN21,grouped,V4,d1-d0
16C102_V4_grouped_d1-d0,16C102,grouped,V4,d1-d0
16C141_V4_grouped_d1-d0,16C141,grouped,V4,d1-d0
DGRK_V4_grouped_d1-d0,DGRK,grouped,V4,d1-d0
HXN_V4_grouped_d1-d0,HXN,grouped,V4,d1-d0
ZM12_V4_grouped_d1-d0,ZM12,grouped,V4,d1-d0
16C275_V4_grouped_d1-d0,16C275,grouped,V4,d1-d0
16C286_V4_grouped_d1-d0,16C286,grouped,V4,d1-d0
DGRW_V4_grouped_d1-d0,DGRW,grouped,V4,d1-d0
ZM07_V4_grouped_d1-d0,ZM07,grouped,V4,d1-d0
ZN09_V4_grouped_d1-d0,ZN09,grouped,V4,d1-d0
DGHG_V4_grouped_d3-d0,DGHG,grouped,V4,d3-d0
16C190_V4_grouped_d3-d0,16C190,grouped,V4,d3-d0
DGTE_V4_grouped_d3-d0,DGTE,grouped,V4,d3-d0
ZM34_V4_grouped_d3-d0,ZM34,grouped,V4,d3-d0
ZN21_V4_grouped_d3-d0,ZN21,grouped,V4,d3-d0
16C102_V4_grouped_d3-d0,16C102,grouped,V4,d3-d0
16C141_V4_grouped_d3-d0,16C141,grouped,V4,d3-d0
DGRK_V4_grouped_d3-d0,DGRK,grouped,V4,d3-d0
HXN_V4_grouped_d3-d0,HXN,grouped,V4,d3-d0
ZM12_V4_grouped_d3-d0,ZM12,grouped,V4,d3-d0
16C275_V4_grouped_d3-d0,16C275,grouped,V4,d3-d0
16C286_V4_grouped_d3-d0,16C286,grouped,V4,d3-d0
DGRW_V4_grouped_d3-d0,DGRW,grouped,V4,d3-d0
ZM07_V4_grouped_d3-d0,ZM07,grouped,V4,d3-d0
ZN09_V4_grouped_d3-d0,ZN09,grouped,V4,d3-d0
DGHG_V4_grouped_d7-d0,DGHG,grouped,V4,d7-d0
16C190_V4_grouped_d7-d0,16C190,grouped,V4,d7-d0
DGTE_V4_grouped_d7-d0,DGTE,grouped,V4,d7-d0
ZM34_V4_grouped_d7-d0,ZM34,grouped,V4,d7-d0
ZN21_V4_grouped_d7-d0,ZN21,grouped,V4,d7-d0
16C102_V4_grouped_d7-d0,16C102,grouped,V4,d7-d0
16C141_V4_grouped_d7-d0,16C141,grouped,V4,d7-d0
DGRK_V4_grouped_d7-d0,DGRK,grouped,V4,d7-d0
HXN_V4_grouped_d7-d0,HXN,grouped,V4,d7-d0
ZM12_V4_grouped_d7-d0,ZM12,grouped,V4,d7-d0
16C275_V4_grouped_d7-d0,16C275,grouped,V4,d7-d0
16C286_V4_grouped_d7-d0,16C286,grouped,V4,d7-d0
DGRW_V4_grouped_d7-d0,DGRW,grouped,V4,d7-d0
ZM07_V4_grouped_d7-d0,ZM07,grouped,V4,d7-d0
ZN09_V4_grouped_d7-d0,ZN09,grouped,V4,d7-d0
